ref,query,RMSD
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/farfar2/Mol9.out.1.pdb,14.822000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/farfar2/Mol9.out.10.pdb,10.515000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/farfar2/Mol9.out.2.pdb,6.499000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/farfar2/Mol9.out.3.pdb,8.741000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/farfar2/Mol9.out.4.pdb,14.146000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/farfar2/Mol9.out.5.pdb,12.387000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/farfar2/Mol9.out.6.pdb,16.560000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/farfar2/Mol9.out.7.pdb,16.199000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/farfar2/Mol9.out.8.pdb,10.355000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/farfar2/Mol9.out.9.pdb,20.930000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/farfar2/Mol9.out.rms.1.pdb,5.236000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/farfar2/Mol9.out.rms.2.pdb,5.153000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/farfar2/Mol9.out.rms.3.pdb,5.428000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/farfar2/Mol9.out.rms.4.pdb,5.319000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/farfar2/Mol9.out.rms.5.pdb,5.653000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS017_1.pdb,17.872000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS017_2.pdb,21.841000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS017_3.pdb,20.352000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS017_4.pdb,20.407000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS017_5.pdb,20.502000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS031_1.pdb,17.127000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS031_2.pdb,29.983000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS031_3.pdb,29.259000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS031_4.pdb,15.174000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS031_5.pdb,12.494000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS032_1.pdb,23.504000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS032_2.pdb,38.793000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS032_3.pdb,23.531000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS032_4.pdb,14.979000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS032_5.pdb,18.180000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS033_1.pdb,17.952000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS033_2.pdb,18.268000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS033_3.pdb,18.215000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS033_4.pdb,18.283000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS033_5.pdb,17.998000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS034_1.pdb,17.216000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS034_2.pdb,16.591000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS034_3.pdb,19.074000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS034_4.pdb,16.598000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS034_5.pdb,17.813000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS073_1.pdb,17.665000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS073_2.pdb,17.870000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS078_1.pdb,14.762000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS078_2.pdb,14.918000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS078_3.pdb,14.827000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS078_4.pdb,12.676000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS078_5.pdb,15.091000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS161_1.pdb,15.013000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS161_2.pdb,17.304000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS161_3.pdb,17.441000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS161_4.pdb,16.144000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS161_5.pdb,18.169000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS170_1.pdb,18.488000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS170_2.pdb,17.142000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS170_3.pdb,23.533000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS170_4.pdb,16.128000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS170_5.pdb,13.797000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS177_1.pdb,18.104000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS177_2.pdb,15.676000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS177_3.pdb,17.501000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS177_4.pdb,14.522000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS177_5.pdb,17.773000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS272_1.pdb,14.649000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS272_2.pdb,15.000000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS272_3.pdb,14.926000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS272_4.pdb,17.102000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS272_5.pdb,17.843000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS278_1.pdb,19.172000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS278_2.pdb,14.338000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS278_3.pdb,16.368000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS278_4.pdb,16.646000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS278_5.pdb,17.027000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS315_1.pdb,12.753000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS315_2.pdb,18.223000
